numObj,21
rangeIdx,[29 30  8  9 12 29 30  8  9 29  9  8  9  8  9 10  8  9 10 12 12]
range,"[1.359375 1.40625  0.375    0.421875 0.5625   1.359375 1.40625  0.375
 0.421875 1.359375 0.421875 0.375    0.421875 0.375    0.421875 0.46875
 0.375    0.421875 0.46875  0.5625   0.5625  ]"
dopplerIdx,[ 0  0  1  1  1  1  1  2  2  2  3 -3 -3 -2 -2 -2 -1 -1 -1 -1  1]
doppler,"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.25052108  0.25052108  0.25052108  0.37578163 -0.37578163
 -0.37578163 -0.25052108 -0.25052108 -0.25052108 -0.12526054 -0.12526054
 -0.12526054 -0.12526054  0.12526054]"
peakVal,"[ 16  13 187 272  20  31  24  63  91  16  17  10  15  45  65  35 138 200
 109  15  11]"
x,"[ 0.          0.04492188 -0.03515625 -0.0390625   0.          0.04296875
  0.         -0.03515625 -0.0390625   0.         -0.05273438 -0.03515625
 -0.0390625  -0.0234375  -0.02734375 -0.02929688 -0.0234375  -0.02734375
 -0.02929688  0.         -0.31640625]"
y,"[1.359375   1.37890625 0.37109375 0.41796875 0.54492188 1.34179688
 1.35742188 0.3671875  0.4140625  1.3359375  0.40429688 0.3671875
 0.41601562 0.37304688 0.41992188 0.46484375 0.375      0.421875
 0.46679688 0.55859375 0.46289062]"
z,"[ 0.03125     0.27734375  0.04492188  0.046875    0.13671875  0.21875
  0.3671875   0.06640625  0.07421875  0.25390625  0.10546875 -0.06445312
 -0.06445312 -0.02929688 -0.03125    -0.04492188  0.         -0.00195312
 -0.01171875  0.05859375  0.04882812]"
