numObj,44
rangeIdx,"[ 8  9 12 22 23 36 37  8  9 12 22 23 36 37  8  9 12 22 23 36 37  8  9 22
 23  8  9  8  9  8  9 22  8  9 12 22 23  8  9 12 22 23 12 12]"
range,"[0.375    0.421875 0.5625   1.03125  1.078125 1.6875   1.734375 0.375
 0.421875 0.5625   1.03125  1.078125 1.6875   1.734375 0.375    0.421875
 0.5625   1.03125  1.078125 1.6875   1.734375 0.375    0.421875 1.03125
 1.078125 0.375    0.421875 0.375    0.421875 0.375    0.421875 1.03125
 0.375    0.421875 0.5625   1.03125  1.078125 0.375    0.421875 0.5625
 1.03125  1.078125 0.5625   0.5625  ]"
dopplerIdx,"[ 0  0  0  0  0  0  0  1  1  1  1  1  1  1  2  2  2  2  2  2  2  3  3  3
  3  4  4 -4 -4 -3 -3 -3 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1  1 -2]"
doppler,"[ 0.          0.          0.          0.          0.          0.
  0.          0.12526054  0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108  0.25052108
  0.25052108  0.25052108  0.25052108  0.37578163  0.37578163  0.37578163
  0.37578163  0.50104217  0.50104217 -0.50104217 -0.50104217 -0.37578163
 -0.37578163 -0.37578163 -0.25052108 -0.25052108 -0.25052108 -0.25052108
 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054 -0.12526054
  0.12526054 -0.25052108]"
peakVal,"[203 244  22 192 175  22  23 699 840  76 420 383  41  43 248 298  27 170
 153  20  20  39  47  16  15  12  14  11  13  29  35  10 109 130  11  30
  28 345 414  37  91  85  75   6]"
x,"[ 0.          0.          0.01757812  0.          0.          0.05273438
  0.0546875   0.          0.          0.01757812  0.          0.
  0.05273438  0.          0.          0.          0.          0.
  0.          0.05273438  0.         -0.01171875 -0.01367188  0.
  0.          0.          0.          0.01171875  0.01367188  0.01171875
  0.01367188  0.          0.          0.          0.          0.03320312
  0.          0.01171875  0.01367188  0.03515625  0.03320312  0.
  0.05273438 -0.24609375]"
y,"[0.37109375 0.41796875 0.55859375 1.00195312 1.04882812 1.6484375
 1.69726562 0.3671875  0.4140625  0.55273438 0.984375   1.02929688
 1.62695312 1.671875   0.36132812 0.40820312 0.546875   0.9609375
 1.00390625 1.59570312 1.63085938 0.35351562 0.3984375  0.94726562
 0.9765625  0.34765625 0.39453125 0.37304688 0.41992188 0.375
 0.421875   1.03125    0.375      0.421875   0.56054688 1.02539062
 1.07226562 0.37304688 0.41992188 0.56054688 1.015625   1.06445312
 0.546875   0.4921875 ]"
z,"[ 0.05664062  0.05664062  0.06640625  0.24023438  0.25390625  0.359375
  0.35351562  0.08007812  0.08203125  0.10351562  0.3046875   0.32226562
  0.44921875  0.46484375  0.10351562  0.109375    0.13476562  0.37304688
  0.39257812  0.546875    0.58984375  0.12695312  0.13671875  0.40820312
  0.45507812  0.14257812  0.1484375  -0.03125    -0.04296875 -0.01171875
 -0.0234375  -0.03125     0.00976562  0.         -0.03515625  0.10351562
  0.10742188  0.03320312  0.02929688  0.03125     0.171875    0.17382812
  0.12109375 -0.11328125]"
