numObj,45
rangeIdx,"[20 21 22 23 52 53 54 20 21 22 23 24 30 31 32 20 21 22 21 21 22 20 21 22
 23 24 52 53 54 20 21 22 23 24 52 53 23 54 23 24 23 24 54 23 24]"
range,"[0.9375   0.984375 1.03125  1.078125 2.4375   2.484375 2.53125  0.9375
 0.984375 1.03125  1.078125 1.125    1.40625  1.453125 1.5      0.9375
 0.984375 1.03125  0.984375 0.984375 1.03125  0.9375   0.984375 1.03125
 1.078125 1.125    2.4375   2.484375 2.53125  0.9375   0.984375 1.03125
 1.078125 1.125    2.4375   2.484375 1.078125 2.53125  1.078125 1.125
 1.078125 1.125    2.53125  1.078125 1.125   ]"
dopplerIdx,"[ 0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  2  2  2  3 -3 -3 -2 -2 -2
 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 -1  0  0  1  1 -2 -2 -2 -1 -1]"
doppler,"[ 0.          0.          0.          0.          0.          0.
  0.          0.12526054  0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108
  0.37578163 -0.37578163 -0.37578163 -0.25052108 -0.25052108 -0.25052108
 -0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.12526054
 -0.12526054 -0.12526054 -0.12526054 -0.12526054 -0.12526054 -0.12526054
  0.          0.          0.12526054  0.12526054 -0.25052108 -0.25052108
 -0.25052108 -0.12526054 -0.12526054]"
peakVal,"[ 13  32  28   7  21  26  20  43 105  89  25  21  15  14  12  14  35  28
   7  10   7  22  55  46  13  10  23  27  20  65 159 134  37  30  39  48
   5  15  18  17   9  10  13  27  27]"
x,"[ 0.          0.         -0.03320312  0.47265625 -0.07617188  0.
  0.23828125 -0.02929688  0.         -0.03320312  0.50585938 -0.0703125
  0.92382812  1.          1.171875    0.         -0.03125     0.
  0.          0.          0.          0.          0.          0.
  0.5390625   0.          0.          0.078125    0.23828125  0.
  0.         -0.03320312  0.5390625  -0.0703125  -0.07617188  0.
 -0.50585938  1.10742188 -0.47265625 -0.4921875  -0.47265625 -0.45703125
  1.10742188 -0.4375     -0.45703125]"
y,"[0.93554688 0.98242188 1.02734375 0.96875    2.42773438 2.47070312
 2.4765625  0.9375     0.984375   1.03125    0.94921875 1.08984375
 0.89648438 0.984375   0.91210938 0.9375     0.98242188 1.03125
 0.97070312 0.9453125  0.98046875 0.91210938 0.96289062 1.00390625
 0.9140625  1.125      2.43359375 2.48242188 2.51367188 0.92773438
 0.97460938 1.01757812 0.92578125 1.11523438 2.43554688 2.48242188
 0.94726562 0.         0.96679688 0.99414062 0.90429688 0.86523438
 0.         0.9453125  0.89257812]"
z,"[-0.07421875 -0.07226562 -0.08203125  0.01367188  0.20703125  0.2578125
  0.46679688 -0.02539062 -0.00585938 -0.02929688  0.08007812  0.26953125
  0.56640625  0.37890625  0.2109375   0.04296875  0.05078125  0.015625
  0.15820312 -0.27148438 -0.31835938 -0.21484375 -0.203125   -0.23828125
 -0.1953125   0.015625   -0.14257812 -0.06445312  0.19726562 -0.14257812
 -0.1328125  -0.15820312 -0.12109375  0.125       0.06835938  0.09375
 -0.09179688 -2.34960938 -0.06054688 -0.18945312 -0.34960938 -0.5546875
  2.34765625 -0.27539062 -0.50976562]"
