numObj,3
rangeIdx,[56 55 56]
range,[2.625    2.578125 2.625   ]
dopplerIdx,[ 0 -1 -1]
doppler,[ 0.         -0.12526054 -0.12526054]
peakVal,[ 7 13 14]
x,[-0.24609375  0.          0.        ]
y,[2.61328125 2.578125   2.625     ]
z,[ 0.04492188  0.0625     -0.08007812]
