frame,x,y,z
15,"[ 1.29492188  1.38476562  1.42382812 -1.78515625 -1.82617188 -1.86914062
  0.         -1.890625   -0.37304688 -1.66210938 -1.76367188 -1.8046875
  1.38476562  1.37109375 -1.72265625 -1.76367188 -1.86914062  1.34570312
  1.43554688  1.42382812 -1.72265625 -1.76367188 -1.86914062  0.        ]","[0.91015625 0.87695312 0.89648438 0.81640625 0.80078125 0.77929688
 1.17382812 0.50976562 1.66992188 0.96289062 0.95898438 0.99804688
 0.86914062 0.9765625  0.92578125 0.9765625  0.86132812 0.81640625
 0.79492188 0.90625    0.95117188 0.96679688 0.83398438 1.33007812]","[-0.18359375  0.08984375  0.12890625  0.16015625  0.29101562  0.39257812
  1.91992188  0.48242188 -1.66992188 -0.43554688 -0.18359375  0.00585938
 -0.140625   -0.1171875  -0.22851562 -0.00390625  0.13671875 -0.2578125
 -0.00976562  0.015625   -0.046875    0.13867188  0.25585938  1.81445312]"
16,"[ 1.31640625  1.3125      1.3046875  -1.82617188  0.          0.22460938
 -1.59960938 -1.70117188  1.3125      1.35351562 -1.76367188  1.31640625
  1.359375    1.3046875  -1.82617188 -0.59765625  1.29296875]","[0.61328125 0.71484375 0.8203125  0.79492188 1.37890625 2.23828125
 0.87695312 0.9609375  0.7265625  0.74804688 0.96679688 0.61523438
 0.625      0.828125   0.84570312 0.70703125 1.4765625 ]","[ 0.046875    0.13085938  0.13085938  0.30859375  1.77929688 -0.80859375
 -0.74023438 -0.49804688 -0.01367188  0.         -0.12890625  0.
  0.10742188  0.04882812  0.10546875  2.20507812 -0.16796875]"
17,"[ 1.31640625  1.265625    1.39453125  1.43554688  1.32226562  1.35351562
  1.359375    1.4453125   1.38476562  1.31640625  1.3125      1.39453125
  1.48632812 -1.44140625]","[0.59765625 0.78125    0.74804688 0.72265625 1.37304688 1.40625
 0.63476562 0.67382812 0.88085938 0.61132812 0.71484375 0.75976562
 0.65820312 1.12890625]","[ 0.14257812  0.1953125   0.19335938  0.33007812 -0.25       -0.25976562
  0.          0.02929688  0.00976562  0.06054688  0.13085938  0.13085938
  0.21875    -0.5859375 ]"
18,"[ 1.3125      1.3046875   1.4453125   1.48632812 -1.84570312 -1.890625
  1.38085938  1.21875     1.3046875  -1.890625    1.265625    1.35351562
  1.49414062  1.5390625  -1.50195312]","[0.64648438 0.80859375 0.6640625  0.68554688 0.47460938 0.3359375
 1.28320312 0.875      0.83007812 0.6953125  0.80078125 0.73828125
 0.5546875  0.4765625  1.01757812]","[ 0.33203125  0.19335938  0.11914062 -0.1015625   0.49414062  0.61523438
 -0.37304688 -0.00585938 -0.03515625  0.0859375   0.07617188  0.125
 -0.01367188 -0.31445312 -0.63476562]"
19,"[ 1.27148438  1.3125      1.35351562  1.4453125   1.48632812 -1.84570312
  1.359375    1.35351562  1.4453125   1.43554688  1.37109375  1.31640625
  1.359375    1.40234375  1.4453125   1.48632812 -1.78515625 -1.890625  ]","[0.70117188 0.67382812 0.7109375  0.66796875 0.69140625 0.5390625
 0.61914062 0.72851562 0.67382812 0.79492188 0.97460938 0.609375
 0.61523438 0.61914062 0.67382812 0.69335938 0.79882812 0.66210938]","[ 0.06640625  0.27148438  0.234375    0.0859375   0.04296875  0.42382812
  0.140625    0.171875    0.01757812  0.01367188  0.13867188 -0.078125
  0.15820312  0.20898438  0.00976562  0.0078125   0.23632812  0.23242188]"
20,"[ 1.27148438  1.49414062  1.43554688 -1.640625   -1.68164062 -1.78515625
 -1.76367188  1.31640625  1.265625    1.49414062 -1.640625   -1.68164062
 -1.78515625 -1.82617188  1.23046875  1.31640625  1.3125      1.49414062
  1.5390625  -1.7421875  -1.78515625  1.34765625  1.38085938  1.41601562
  1.34765625]","[0.703125   0.53320312 0.79101562 0.90625    0.9296875  0.83203125
 0.97070312 0.60351562 0.80273438 0.4921875  0.90039062 0.9296875
 0.83203125 0.8515625  0.67578125 0.61132812 0.7265625  0.55273438
 0.56445312 0.8125     0.828125   1.27539062 1.2578125  1.07421875
 1.265625  ]","[ 0.          0.15039062  0.07421875 -0.05664062 -0.0078125   0.01171875
 -0.09179688 -0.1171875   0.0625     -0.2578125  -0.11328125 -0.03320312
  0.0390625  -0.00976562 -0.08789062 -0.06640625 -0.0234375  -0.05664062
 -0.08203125  0.00390625  0.078125   -0.27148438 -0.45117188 -0.84960938
 -0.30859375]"
21,"[ 1.21875     1.3046875   1.4453125   1.3359375  -1.640625    1.265625
  1.3046875   1.34570312  1.43554688  1.37109375  1.2265625   1.265625
  1.3046875   1.4453125   1.48632812 -1.84570312  1.40625   ]","[0.45898438 0.57421875 0.62695312 1.17578125 0.90820312 0.6875
 0.68945312 0.75976562 0.77539062 0.93945312 0.62304688 0.57617188
 0.55273438 0.61523438 0.67382812 0.65429688 1.0078125 ]","[ 0.74414062  0.59960938  0.24609375  0.08398438 -0.00390625  0.41992188
  0.46289062  0.39453125  0.17382812  0.2890625   0.47070312  0.5625
  0.61914062  0.2734375   0.16601562  0.20117188 -0.72460938]"
22,"[ 1.23046875  1.4453125   1.3046875   1.34570312  1.33398438 -1.58203125
  1.3125      1.40234375  1.4453125   1.38476562 -1.7421875   1.27539062
  1.31640625  1.3125      1.35351562  1.4453125   1.48632812  1.5234375 ]","[0.66210938 0.58007812 0.83007812 0.84960938 0.9375     0.99414062
 0.453125   0.62304688 0.66992188 0.875      0.8125     0.56640625
 0.47265625 0.         0.66601562 0.65039062 0.6796875  1.08789062]","[-0.15820312  0.34179688 -0.00976562 -0.09765625 -0.18945312 -0.15625
  0.56640625  0.20117188  0.06640625 -0.09570312  0.0390625  -0.18164062
  0.39257812  0.8828125   0.34179688  0.1796875   0.14257812 -0.10351562]"
23,"[ 1.40234375  1.4453125  -1.86132812  1.42773438  1.46484375  1.1953125
  1.37109375  1.46484375  1.40625     1.49804688 -1.59375     1.3125
  1.40234375  1.54492188 -1.80273438  1.09570312  1.40625   ]","[0.61132812 0.6484375  0.41210938 1.13867188 1.1640625  1.04882812
 1.20898438 1.16992188 0.52148438 0.3515625  0.         0.7265625
 0.65234375 0.39453125 0.65039062 0.95898438 0.52148438]","[ 0.234375    0.18554688  0.24023438 -0.06640625 -0.11914062  0.10546875
  0.02929688 -0.01171875 -0.02734375 -0.15234375 -0.3984375  -0.02734375
  0.05664062  0.02539062  0.15429688  0.6484375   0.03320312]"
24,"[ 1.35351562  1.4453125   1.34765625  1.37695312  1.42773438  1.3125
  1.35351562  1.28125     1.39257812  1.42773438  1.46484375  1.3125
  1.3046875  -1.59960938 -1.640625   -1.80273438  1.36328125  1.171875
 -1.546875    1.49414062 -1.69921875 -1.80273438 -1.59960938 -1.69921875
  1.42773438  1.015625  ]","[0.74023438 0.6484375  1.6796875  1.72070312 1.13085938 0.71679688
 0.73242188 1.01171875 1.09375    1.13085938 1.14453125 0.61914062
 0.59375    0.85351562 0.89648438 0.6484375  0.2734375  0.21484375
 0.         0.546875   0.76757812 0.63476562 0.69140625 0.72070312
 1.08789062 0.49414062]","[ 0.10742188  0.18359375  0.11523438  0.03320312 -0.15625     0.11523438
  0.15820312  0.16015625 -0.19921875 -0.15039062 -0.24609375  0.38085938
  0.58007812  0.23046875  0.1484375   0.16601562  0.21679688  0.91210938
 -0.38671875 -0.09179688  0.20117188  0.20898438  0.55273438  0.33203125
 -0.34570312  1.05664062]"
