frame,x,y,z
17,"[-0.29882812 -0.11523438 -0.14453125 -0.109375   -0.1171875   0.57226562
  0.5859375   0.6015625   0.61523438 -0.29882812 -0.34375    -0.28125
 -0.11523438 -0.12304688 -0.109375   -0.1171875   0.57226562  0.5859375
  0.66015625  0.67773438 -0.29882812 -0.11523438 -0.12304688 -0.109375
 -0.09375     0.57226562  0.5859375   0.6015625   0.61523438 -0.34375
 -0.09570312 -0.32421875 -0.32421875]","[0.47460938 0.48046875 0.62695312 0.69335938 0.74023438 1.72460938
 1.76757812 1.80859375 1.84179688 0.4609375  0.4765625  0.484375
 0.51171875 0.64257812 0.69335938 0.72851562 1.73632812 1.78125
 1.8046875  1.84960938 0.4765625  0.46289062 0.63671875 0.6953125
 0.7421875  1.734375   1.77929688 1.82226562 1.86328125 0.50390625
 0.49414062 0.51367188 0.515625  ]","[ 0.03320312  0.35742188  0.13476562  0.04296875 -0.03125     0.20507812
  0.22265625  0.25390625  0.32617188  0.12109375  0.16601562 -0.04882812
  0.31054688  0.05664062 -0.04101562 -0.13671875 -0.03125    -0.01171875
  0.0078125   0.0234375   0.01757812  0.37890625  0.1015625  -0.00585938
 -0.0625      0.08789062  0.09765625  0.11914062  0.171875    0.00976562
 -0.34375    -0.0546875  -0.02734375]"
18,"[-0.24609375 -0.24804688 -0.14453125 -0.15429688 -0.1171875   0.57226562
  0.5859375   0.6015625   0.61523438 -0.26367188 -0.26757812  0.46875
  0.52734375  0.54101562 -0.24609375 -0.24804688 -0.14453125 -0.15429688
 -0.1171875   0.62890625  0.64453125  0.6015625   0.61523438 -0.22851562
 -0.26757812 -0.12304688 -0.1328125  -0.1171875   0.57226562  0.64453125
  0.66015625  0.61523438 -0.34960938 -0.34960938 -0.328125  ]","[0.5        0.52148438 0.63476562 0.67578125 0.73828125 1.72265625
 1.76367188 1.80078125 1.83203125 0.49609375 0.50976562 1.76953125
 1.796875   1.84179688 0.50585938 0.54492188 0.640625   0.68359375
 0.74023438 1.71679688 1.76171875 1.82421875 1.86328125 0.51367188
 0.52929688 0.64453125 0.6875     0.74023438 1.73242188 1.75585938
 1.796875   1.84765625 0.26953125 0.375      0.3828125 ]","[ 0.0703125   0.19335938  0.08203125  0.1171875   0.0625      0.2265625
  0.24414062  0.3046875   0.375      -0.04101562  0.20117188  0.40820312
 -0.10742188 -0.10742188 -0.00976562  0.11523438  0.00976562  0.05078125
 -0.01757812 -0.0078125   0.0078125   0.05078125  0.15820312  0.01367188
  0.14453125  0.02148438  0.06445312  0.02539062  0.11523438  0.12890625
  0.171875    0.2890625   0.48632812  0.41015625  0.41992188]"
19,"[-0.19335938 -0.19140625 -0.1640625  -0.17578125 -0.1875      0.51367188
  0.64453125  0.6015625   0.61523438 -0.40429688  0.52734375  0.48046875
  0.57226562  0.5859375   0.6015625  -0.38671875 -0.19140625 -0.14453125
 -0.15429688  0.57226562  0.64453125  0.66015625  0.67773438 -0.38671875
 -0.171875   -0.1640625  -0.17578125 -0.1875      0.57226562  0.5859375
  0.66015625  0.67773438 -0.40429688 -0.2109375  -0.2109375 ]","[0.5234375  0.57226562 0.61328125 0.63476562 0.56835938 1.7421875
 1.7421875  1.79882812 1.82226562 0.36328125 1.75976562 1.70898438
 1.72265625 1.77929688 1.82617188 0.375      0.578125   0.63476562
 0.66015625 1.73632812 1.76171875 1.80273438 1.83789062 0.36328125
 0.58398438 0.62304688 0.6484375  0.60742188 1.734375   1.77539062
 1.79492188 1.82421875 0.2578125  0.49609375 0.50390625]","[-0.07226562  0.08203125  0.16601562  0.24609375  0.45117188  0.20117188
  0.26171875  0.31835938  0.42382812  0.14648438  0.37695312  0.73828125
 -0.22851562 -0.078125   -0.04296875  0.16210938 -0.02734375  0.08984375
  0.1875     -0.03515625  0.0234375   0.07617188  0.19726562  0.1875
  0.03710938  0.12695312  0.20898438  0.39648438  0.08398438  0.13867188
  0.19921875  0.30078125  0.29492188 -0.16015625 -0.13671875]"
20,"[-0.29882812 -0.171875   -0.1640625  -0.15429688 -0.140625    0.57226562
  0.5859375   0.6015625  -0.29882812  0.51367188  0.46875     0.48046875
  0.51367188  0.5859375   0.6015625  -0.29882812 -0.15234375 -0.1640625
 -0.1328125  -0.1171875   0.57226562  0.5859375   0.6015625  -0.28125
 -0.15234375 -0.1640625  -0.15429688 -0.1171875   0.57226562  0.5859375
  0.6015625  -0.36132812 -0.30078125 -0.36132812 -0.36132812]","[0.47460938 0.54882812 0.61523438 0.66992188 0.71679688 1.72460938
 1.76367188 1.796875   0.45703125 1.72070312 1.77148438 1.76953125
 1.75390625 1.77929688 1.81835938 0.47460938 0.578125   0.63085938
 0.6875     0.73828125 1.73632812 1.78125    1.82421875 0.48632812
 0.56445312 0.62304688 0.67773438 0.73242188 1.734375   1.77734375
 1.81640625 0.44726562 1.3203125  0.39648438 0.4375    ]","[ 0.046875    0.203125    0.16210938  0.15234375  0.16796875  0.2109375
  0.24414062  0.3203125   0.1328125   0.34179688  0.40039062  0.578125
 -0.05078125 -0.09765625 -0.1640625  -0.0390625   0.12109375  0.07226562
  0.05859375  0.06054688 -0.01953125  0.01367188  0.0625      0.02148438
  0.17382812  0.12109375  0.109375    0.11132812  0.09179688  0.12890625
  0.18554688 -0.203125   -1.36523438 -0.28710938 -0.22265625]"
21,"[-0.29882812 -0.19140625 -0.14453125 -0.15429688 -0.1875      0.51367188
  0.5859375   0.6015625  -0.54492188 -0.32421875  0.57226562  0.52734375
  0.1796875   0.57226562  0.64453125  0.6015625  -0.29882812 -0.15234375
 -0.14453125 -0.15429688 -0.1640625   0.57226562  0.5859375   0.66015625
 -0.28125    -0.15234375 -0.14453125 -0.15429688 -0.1875      0.57226562
  0.5859375   0.66015625 -0.4921875  -0.32421875 -0.24609375 -0.55273438
 -0.48046875 -0.34375    -0.32421875]","[0.39453125 0.57617188 0.61132812 0.66601562 0.6953125  1.73632812
 1.76367188 1.80859375 0.12304688 0.36328125 1.6953125  1.73632812
 0.98828125 1.72851562 1.75585938 1.81054688 0.42578125 0.5703125
 0.63085938 0.68164062 0.72460938 1.73632812 1.78125    1.8046875
 0.4375     0.57421875 0.625      0.67382812 0.70703125 1.73242188
 1.77734375 1.80273438 0.         0.45507812 0.42773438 0.25195312
 1.17773438 0.44726562 0.453125  ]","[ 0.26953125 -0.0546875   0.18945312  0.16796875  0.20898438  0.25585938
  0.25        0.24609375  0.06445312  0.3671875   0.38085938  0.47460938
  1.63867188 -0.16796875 -0.12890625 -0.24023438  0.21484375 -0.15234375
  0.109375    0.07617188  0.10742188  0.00585938  0.00585938 -0.0546875
  0.21484375 -0.13867188  0.14257812  0.125       0.1640625   0.12695312
  0.12304688  0.06835938 -0.40039062  0.2421875   0.26953125 -0.04882812
 -1.44140625  0.234375    0.24804688]"
22,"[-0.33398438 -0.28515625 -0.1640625  -0.17578125  0.57226562  0.5859375
 -0.38085938 -0.38671875 -0.40429688  0.51367188  0.5859375   0.57226562
  0.5859375  -0.3515625  -0.28515625 -0.1640625  -0.15429688  0.55664062
  0.57226562  0.5859375   0.6015625  -0.3515625  -0.26757812 -0.1640625
 -0.15429688  0.55664062  0.57226562  0.5859375   0.54492188]","[0.421875   0.49804688 0.4453125  0.47265625 1.72070312 1.765625
 0.27148438 0.34179688 0.38671875 1.71875    1.75390625 1.73242188
 1.77539062 0.42773438 0.51757812 0.5234375  0.5390625  1.69140625
 1.73632812 1.78125    1.8203125  0.42382812 0.51171875 0.4921875
 0.51171875 1.68554688 1.73242188 1.77734375 0.        ]","[ 0.1640625   0.20703125  0.453125    0.49023438  0.24023438  0.23046875
  0.0234375   0.00585938  0.05664062  0.34960938  0.30859375 -0.125
 -0.14257812  0.09960938  0.1484375   0.359375    0.42578125  0.03125
  0.01171875  0.         -0.15429688  0.11132812  0.19335938  0.40234375
  0.45703125  0.15429688  0.12304688  0.11328125  0.26171875]"
23,"[-0.17578125 -0.22851562 -0.10351562 -0.1328125  -0.140625   -0.05273438
  0.50195312  0.57226562  0.5859375  -0.38085938 -0.43554688  0.51367188
  0.52734375  0.55664062  0.57226562  0.5859375  -0.17578125 -0.22851562
 -0.08203125 -0.109375   -0.1171875   0.55664062  0.57226562  0.5859375
 -0.36914062 -0.20898438 -0.08203125 -0.109375   -0.1171875   0.55664062
  0.57226562  0.5859375  -0.38671875 -0.30859375 -0.36914062 -0.30859375
 -0.17578125 -0.28710938]","[0.32421875 0.52539062 0.58203125 0.66210938 0.73632812 0.81445312
 1.69335938 1.72265625 1.76757812 0.27148438 0.2734375  1.71679688
 1.7734375  1.68945312 1.73242188 1.77929688 0.390625   0.55273438
 0.63085938 0.68945312 0.734375   1.69140625 1.73632812 1.78125
 0.4140625  0.54101562 0.60351562 0.6796875  0.74023438 1.6875
 1.73242188 1.77734375 0.39453125 0.57226562 0.40234375 0.546875
 0.37304688 0.578125  ]","[ 0.42382812  0.20703125  0.28710938  0.19726562 -0.01757812  0.21484375
  0.22851562  0.22265625  0.21289062  0.03710938  0.04296875  0.36328125
  0.30078125 -0.10351562 -0.12695312 -0.08984375  0.36523438  0.12109375
  0.1640625   0.07617188 -0.09960938  0.00976562 -0.00195312  0.
 -0.09179688  0.1875      0.24414062  0.14648438 -0.046875    0.12304688
  0.11523438  0.10546875 -0.10351562 -0.08984375 -0.13671875 -0.1953125
  0.3828125  -0.11914062]"
24,"[-0.26367188 -0.19140625 -0.1640625  -0.17578125 -0.140625    0.50195312
  0.51367188  0.52734375  0.6015625  -0.38085938 -0.40234375 -0.421875
  0.51367188  0.41015625 -0.39648438 -0.41992188  0.62890625  0.5859375
 -0.24609375 -0.171875   -0.1640625  -0.15429688  0.55664062  0.57226562
  0.5859375   0.6015625  -0.26367188 -0.171875   -0.18554688 -0.15429688
 -0.140625    0.55664062  0.57226562  0.5859375   0.6015625  -0.14453125]","[0.4765625  0.56640625 0.6171875  0.66015625 0.71289062 1.69726562
 1.73632812 1.7734375  1.76953125 0.26757812 0.31640625 0.37109375
 1.70117188 1.7890625  0.23828125 0.29101562 1.71679688 1.78125
 0.49414062 0.58203125 0.6328125  0.68164062 1.69140625 1.73632812
 1.77929688 1.81054688 0.47851562 0.58007812 0.62304688 0.67578125
 0.72070312 1.68945312 1.73242188 1.77148438 1.7890625  0.63085938]","[ 0.14257812  0.11914062  0.1484375   0.16796875  0.18554688  0.20117188
  0.24804688  0.30664062  0.44726562  0.0546875   0.05859375  0.01757812
  0.4296875   0.38085938  0.08007812  0.07617188 -0.00585938  0.015625
  0.10546875  0.04882812  0.05859375  0.07421875 -0.01367188  0.0234375
  0.0703125   0.23828125  0.1328125   0.07421875  0.09765625  0.12304688
  0.1484375   0.08789062  0.12890625  0.1796875   0.36132812  0.10742188]"
25,"[-0.421875   -0.20898438 -0.20507812 -0.2421875   0.55664062  0.57226562
  0.5859375  -0.33789062 -0.37109375 -0.40429688 -0.24609375  0.51367188
  0.5859375   0.57226562 -0.421875   -0.19140625 -0.20507812 -0.2421875
  0.55664062  0.62890625  0.64453125 -0.38671875 -0.19140625 -0.20507812
 -0.2421875   0.55664062  0.57226562  0.5859375  -0.22851562 -0.19335938
 -0.2109375 ]","[0.37109375 0.53710938 0.578125   0.5859375  1.67382812 1.71875
 1.75390625 0.31640625 0.34570312 0.38085938 0.52929688 1.70703125
 1.72265625 1.73046875 0.36523438 0.56640625 0.60742188 0.63867188
 1.69140625 1.71679688 1.75976562 0.40820312 0.5546875  0.59570312
 0.61914062 1.6875     1.73046875 1.77148438 0.4921875  0.48828125
 0.49414062]","[-0.03515625  0.1953125   0.234375    0.3046875   0.25        0.24414062
  0.31640625  0.078125    0.09375     0.08789062  0.29882812  0.41015625
  0.45507812 -0.15625    -0.06640625  0.12304688  0.13867188  0.16992188
  0.02539062  0.015625    0.06445312 -0.00976562  0.16796875  0.1875
  0.23046875  0.1328125   0.13671875  0.1953125  -0.15039062 -0.203125
 -0.16601562]"
26,"[-0.24609375 -0.22851562 -0.1640625  -0.19726562  0.55664062  0.57226562
  0.5859375  -0.39648438 -0.45117188 -0.29882812  0.55664062  0.57226562
  0.5859375   0.55664062  0.62890625  0.64453125 -0.24609375 -0.19140625
 -0.1640625  -0.15429688  0.55664062  0.62890625  0.5859375  -0.26367188
 -0.22851562 -0.1640625  -0.17578125  0.55664062  0.62890625  0.64453125
 -0.2734375   0.703125  ]","[0.49609375 0.55859375 0.60742188 0.66015625 1.67382812 1.7109375
 1.74414062 0.25195312 0.23828125 0.42773438 1.66796875 1.67382812
 1.70703125 1.69140625 1.71484375 1.75976562 0.50585938 0.578125
 0.62695312 0.68359375 1.69140625 1.71679688 1.77734375 0.4921875
 0.5625     0.6171875  0.671875   1.6875     1.70898438 1.74804688
 0.34570312 1.73632812]","[ 0.10351562  0.08398438  0.1875      0.14257812  0.24804688  0.296875
  0.36328125  0.00976562 -0.07421875  0.2109375   0.28710938  0.46484375
  0.51171875 -0.0546875  -0.0703125   0.03710938  0.03125     0.0390625
  0.09960938  0.05078125  0.015625    0.05273438  0.109375    0.06835938
  0.04492188  0.1484375   0.10742188  0.125       0.16601562  0.21875
  0.26757812  0.08203125]"
