numObj,38
rangeIdx,"[12 22 30 34 35 36  8  9 12 22 30 34 35 36  8  9 12 22 34 35 36  8  9 22
  9  8  9  8  9 12 22 23  8  9 12 22 23 12]"
range,"[0.5625   1.03125  1.40625  1.59375  1.640625 1.6875   0.375    0.421875
 0.5625   1.03125  1.40625  1.59375  1.640625 1.6875   0.375    0.421875
 0.5625   1.03125  1.59375  1.640625 1.6875   0.375    0.421875 1.03125
 0.421875 0.375    0.421875 0.375    0.421875 0.5625   1.03125  1.078125
 0.375    0.421875 0.5625   1.03125  1.078125 0.5625  ]"
dopplerIdx,"[ 0  0  0  0  0  0  1  1  1  1  1  1  1  1  2  2  2  2  2  2  2  3  3  3
  4 -3 -3 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1  1]"
doppler,"[ 0.          0.          0.          0.          0.          0.
  0.12526054  0.12526054  0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108  0.25052108
  0.25052108  0.25052108  0.25052108  0.37578163  0.37578163  0.37578163
  0.50104217 -0.37578163 -0.37578163 -0.25052108 -0.25052108 -0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054
 -0.12526054  0.12526054]"
peakVal,"[ 19 124  33  17  20  16 628 687  71 308  68  36  39  31 224 244  25 116
  14  17  14  36  39  14  12  28  31 109 120  13  31  23 341 370  40  97
  75  71]"
x,"[ 0.01757812  0.          0.          0.05078125  0.05078125  0.
  0.          0.          0.01757812  0.          0.          0.05078125
  0.05078125  0.          0.          0.          0.03515625  0.
  0.          0.          0.          0.          0.          0.
 -0.01367188  0.01171875  0.01367188  0.01171875  0.01367188  0.05273438
  0.          0.          0.          0.          0.03515625  0.
  0.          0.05273438]"
y,"[0.54492188 0.98242188 1.390625   1.5390625  1.6171875  1.64648438
 0.3671875  0.4140625  0.53515625 0.9609375  1.37304688 1.51171875
 1.5859375  1.63085938 0.36132812 0.40625    0.5234375  0.93164062
 1.47070312 1.5546875  1.59375    0.3515625  0.3984375  0.90820312
 0.38867188 0.375      0.421875   0.375      0.421875   0.55664062
 1.01757812 1.06835938 0.37304688 0.41992188 0.55078125 1.00585938
 1.05273438 0.53125   ]"
z,"[ 0.14257812  0.31640625  0.20507812  0.41210938  0.27734375  0.37109375
  0.08007812  0.08398438  0.17382812  0.375       0.30078125  0.5
  0.41992188  0.43359375  0.1015625   0.11132812  0.203125    0.44140625
  0.61328125  0.52734375  0.55664062  0.1328125   0.140625    0.48828125
  0.16210938 -0.00976562 -0.01953125  0.01171875  0.00585938  0.0625
  0.16796875  0.13867188  0.03320312  0.03125     0.109375    0.22851562
  0.23632812  0.17773438]"
