numObj,16
rangeIdx,[ 8 21 22  8 21 22 33  8 21 22  8 21 22  8 21 22]
range,"[0.375    0.984375 1.03125  0.375    0.984375 1.03125  1.546875 0.375
 0.984375 1.03125  0.375    0.984375 1.03125  0.375    0.984375 1.03125 ]"
dopplerIdx,[ 0  0  0  1  1  1  1  2  2  2 -2 -2 -2 -1 -1 -1]
doppler,"[ 0.          0.          0.          0.12526054  0.12526054  0.12526054
  0.12526054  0.25052108  0.25052108  0.25052108 -0.25052108 -0.25052108
 -0.25052108 -0.12526054 -0.12526054 -0.12526054]"
peakVal,[ 21  24  24 103 112 113  17  34  38  38  30  24  25  93  76  78]
x,"[ 0.          0.          0.          0.          0.          0.
 -0.19335938  0.          0.          0.          0.01171875  0.
  0.          0.          0.          0.03320312]"
y,"[0.36914062 0.94921875 1.         0.36328125 0.9296875  0.97851562
 1.515625   0.35742188 0.91015625 0.95898438 0.375      0.97460938
 1.02148438 0.37304688 0.96289062 1.01367188]"
z,"[0.06054688 0.26367188 0.24804688 0.09179688 0.32226562 0.328125
 0.23828125 0.11328125 0.37304688 0.38085938 0.02148438 0.1328125
 0.13867188 0.04101562 0.20117188 0.19140625]"
