numObj,51
rangeIdx,"[ 8  9 12 13 22 23 24 25 26  8  9 12 13 22 23 24 25 26 37 38  8  9 12 13
 22 23 24 37 38  9 12 23  9  8  9 10  8  9 10  8  9 10 11 12  8  9 10 12
 22 23 24]"
range,"[0.375    0.421875 0.5625   0.609375 1.03125  1.078125 1.125    1.171875
 1.21875  0.375    0.421875 0.5625   0.609375 1.03125  1.078125 1.125
 1.171875 1.21875  1.734375 1.78125  0.375    0.421875 0.5625   0.609375
 1.03125  1.078125 1.125    1.734375 1.78125  0.421875 0.5625   1.078125
 0.421875 0.375    0.421875 0.46875  0.375    0.421875 0.46875  0.375
 0.421875 0.46875  0.515625 0.5625   0.375    0.421875 0.46875  0.5625
 1.03125  1.078125 1.125   ]"
dopplerIdx,"[ 0  0  0  0  0  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  2  2  2  2
  2  2  2  2  2  3  3  4 -5 -4 -4 -4 -3 -3 -3 -2 -2 -2 -2 -2 -1 -1 -1 -1
 -1 -1 -1]"
doppler,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108  0.25052108
  0.25052108  0.25052108  0.25052108  0.25052108  0.25052108  0.37578163
  0.37578163  0.50104217 -0.62630271 -0.50104217 -0.50104217 -0.50104217
 -0.37578163 -0.37578163 -0.37578163 -0.25052108 -0.25052108 -0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054
 -0.12526054 -0.12526054 -0.12526054]"
peakVal,"[ 629 1045  136   50  235  408  242   91  119 1298 2163  281  104  443
  769  454  198  240   38   38  552  921  116   43  274  489  291   40
   47   67    9   12    9   11   18   10   25   42   25   77  128   75
   20   17  212  354  207   50   26   50   33]"
x,"[0.         0.         0.0703125  0.0390625  0.03320312 0.
 0.03515625 0.         0.         0.         0.         0.0703125
 0.01953125 0.         0.03320312 0.         0.         0.
 0.         0.         0.         0.         0.0703125  0.01953125
 0.         0.         0.         0.         0.         0.
 0.03515625 0.         0.02734375 0.01171875 0.01367188 0.015625
 0.01171875 0.02734375 0.015625   0.01171875 0.01367188 0.015625
 0.08007812 0.05273438 0.01171875 0.01367188 0.015625   0.0703125
 0.         0.03320312 0.03515625]"
y,"[0.37109375 0.41796875 0.5546875  0.60742188 1.01171875 1.05859375
 1.10742188 1.16601562 1.2109375  0.3671875  0.4140625  0.54882812
 0.60742188 0.99804688 1.04296875 1.09179688 1.16210938 1.20117188
 1.68164062 1.73632812 0.36132812 0.40820312 0.5390625  0.60546875
 0.9765625  1.02148438 1.07226562 1.6484375  1.70898438 0.3984375
 0.54101562 0.97070312 0.41210938 0.37304688 0.41992188 0.46289062
 0.37304688 0.41992188 0.46679688 0.375      0.421875   0.46875
 0.5078125  0.56054688 0.37304688 0.41992188 0.46875    0.55859375
 1.01367188 1.06445312 1.1171875 ]"
z,"[ 0.05078125  0.0546875   0.06835938  0.02148438  0.19921875  0.20703125
  0.19921875  0.109375    0.140625    0.07421875  0.08203125  0.10351562
  0.0390625   0.26171875  0.27539062  0.26953125  0.15820312  0.203125
  0.42773438  0.39648438  0.09765625  0.10742188  0.14257812  0.07421875
  0.33203125  0.34570312  0.33984375  0.53710938  0.5         0.140625
  0.14648438  0.47070312 -0.0859375  -0.04101562 -0.04296875 -0.07617188
 -0.03125    -0.02148438 -0.03320312  0.00585938  0.00195312 -0.00976562
 -0.02734375 -0.0078125   0.02734375  0.02929688  0.0234375   0.01757812
  0.1953125   0.17382812  0.13671875]"
