numObj,21
rangeIdx,[27 14 15 17 18 17 18  7  8 26 27  7  8 14 26 27 27 26 27 26 27]
range,"[1.265625 0.65625  0.703125 0.796875 0.84375  0.796875 0.84375  0.328125
 0.375    1.21875  1.265625 0.328125 0.375    0.65625  1.21875  1.265625
 1.265625 1.21875  1.265625 1.21875  1.265625]"
dopplerIdx,[ 0  1  1  1  1  2  2 -2 -2 -2 -2 -1 -1 -1 -1 -1  0 -2 -2 -1 -1]
doppler,"[ 0.          0.12526054  0.12526054  0.12526054  0.12526054  0.25052108
  0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.12526054
 -0.12526054 -0.12526054 -0.12526054 -0.12526054  0.         -0.25052108
 -0.25052108 -0.12526054 -0.12526054]"
peakVal,"[  41  117  136  158  176   98  111  342  530   41   38  876 1352  308
   95   89   37   38   37   87   87]"
x,"[ 0.15820312  0.0625      0.06640625  0.49804688  0.5546875   0.49804688
  0.5546875   0.11328125  0.12890625  0.11523438 -0.27734375  0.11328125
  0.12890625  0.0625      0.11523438  0.15820312 -0.27734375 -0.26757812
  0.15820312 -0.26757812 -0.27734375]"
y,"[1.21875    0.63476562 0.6796875  0.         0.         0.
 0.         0.30859375 0.3515625  1.203125   0.53320312 0.30664062
 0.3515625  0.65039062 1.1875     1.23242188 0.75585938 0.54882812
 1.24609375 0.64257812 0.64453125]"
z,"[ 0.3046875   0.15625     0.16992188 -0.77734375 -0.8046875  -0.71484375
 -0.74609375  0.00585938  0.          0.16601562 -1.11523438  0.02929688
  0.03320312  0.0625      0.25        0.24609375 -0.9765625  -1.0546875
  0.15625    -1.         -1.0546875 ]"
