numObj,18
rangeIdx,[ 8  9 40 41 12 12  9  8  9 40 41  8  9 12 40 41 12  9]
range,"[0.375    0.421875 1.875    1.921875 0.5625   0.5625   0.421875 0.375
 0.421875 1.875    1.921875 0.375    0.421875 0.5625   1.875    1.921875
 0.5625   0.421875]"
dopplerIdx,[ 0  0  0  0  1  2 -3 -2 -2 -2 -2 -1 -1 -1 -1 -1  1 -2]
doppler,"[ 0.          0.          0.          0.          0.12526054  0.25052108
 -0.37578163 -0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.12526054
 -0.12526054 -0.12526054 -0.12526054 -0.12526054  0.12526054 -0.25052108]"
peakVal,[437 439  19  19  14  10 100 410 430  23  23 863 860  21  35  36   8 320]
x,"[ 0.12890625  0.15820312  1.0546875   1.08203125  0.421875    0.40429688
  0.27734375  0.140625    0.14453125  1.171875    1.20117188  0.140625
  0.14453125  0.24609375  1.171875    1.140625   -0.52734375  0.29101562]"
y,"[0.33789062 0.3671875  1.45507812 1.47851562 0.33789062 0.35546875
 0.31445312 0.33984375 0.37695312 1.43359375 1.46289062 0.33789062
 0.38085938 0.19335938 1.40234375 1.4765625  0.         0.30078125]"
z,"[ 0.09765625  0.1328125   0.53515625  0.58398438  0.15625     0.1640625
  0.05273438  0.07617188  0.12304688  0.29296875  0.33398438  0.08007812
  0.10742188  0.46679688  0.421875    0.45703125 -0.34179688  0.05859375]"
