numObj,8
rangeIdx,[28 12 12 12 28 28 12 28]
range,[1.3125 0.5625 0.5625 0.5625 1.3125 1.3125 0.5625 1.3125]
dopplerIdx,[ 0  1 -2 -1 -1  0  1 -1]
doppler,"[ 0.          0.12526054 -0.25052108 -0.12526054 -0.12526054  0.
  0.12526054 -0.12526054]"
peakVal,[24  7 10 12 46 22  4 44]
x,"[0.61523438 0.421875   0.36914062 0.33398438 0.61523438 0.08203125
 0.22851562 0.08203125]"
y,"[0.69921875 0.37109375 0.42382812 0.4453125  0.59179688 0.89648438
 0.36328125 0.76367188]"
z,"[-0.92578125  0.03515625  0.0078125   0.08398438 -0.99804688 -0.95507812
 -0.36523438 -1.06445312]"
