numObj,30
rangeIdx,"[ 8  9 12  8  9 10 12 30 31  8  9 10 12  8  9 10  8  9  8  9 10 12  8  9
 10 12 12 12 12 12]"
range,"[0.375    0.421875 0.5625   0.375    0.421875 0.46875  0.5625   1.40625
 1.453125 0.375    0.421875 0.46875  0.5625   0.375    0.421875 0.46875
 0.375    0.421875 0.375    0.421875 0.46875  0.5625   0.375    0.421875
 0.46875  0.5625   0.5625   0.5625   0.5625   0.5625  ]"
dopplerIdx,"[ 0  0  0  1  1  1  1  1  1  2  2  2  2  3  3  3 -3 -3 -2 -2 -2 -2 -1 -1
 -1 -1  0  1 -2 -1]"
doppler,"[ 0.          0.          0.          0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108
  0.25052108  0.37578163  0.37578163  0.37578163 -0.37578163 -0.37578163
 -0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.12526054 -0.12526054
 -0.12526054 -0.12526054  0.          0.12526054 -0.25052108 -0.12526054]"
peakVal,"[ 45  68   8 203 306 162  35  17  16  71 107  56  12  13  20  10  10  16
  42  64  34   8 131 200 107  23   5  30   7  20]"
x,"[-0.10546875 -0.10546875 -0.15820312 -0.10546875 -0.11914062 -0.1328125
 -0.15820312 -0.26367188 -0.2734375  -0.10546875 -0.11914062 -0.14648438
 -0.15820312 -0.1171875  -0.1328125  -0.14648438 -0.10546875 -0.10546875
 -0.10546875 -0.11914062 -0.1328125  -0.15820312 -0.10546875 -0.11914062
 -0.1328125  -0.140625    0.15820312  0.01757812  0.03515625  0.        ]"
y,"[0.359375   0.40625    0.5390625  0.35546875 0.40039062 0.44140625
 0.5390625  1.3671875  1.4140625  0.3515625  0.39453125 0.43164062
 0.53515625 0.34179688 0.3828125  0.42382812 0.35742188 0.40625
 0.359375   0.40429688 0.44921875 0.52148438 0.359375   0.40429688
 0.44921875 0.53710938 0.52929688 0.52539062 0.55859375 0.55273438]"
z,"[ 0.03125     0.0390625   0.          0.05664062  0.06445312  0.08203125
  0.0234375   0.20507812  0.18945312  0.078125    0.09179688  0.11328125
  0.07617188  0.1015625   0.11914062  0.13671875 -0.04101562 -0.03515625
 -0.00976562 -0.01367188 -0.0078125  -0.140625    0.00976562  0.01171875
  0.02148438 -0.0859375  -0.10546875  0.203125    0.04882812  0.1015625 ]"
