numObj,24
rangeIdx,[ 8  9 10 12  8  9 10 12  8  9 10 12  8  9 10  8  9  8  9 10  8  9 10 12]
range,"[0.375    0.421875 0.46875  0.5625   0.375    0.421875 0.46875  0.5625
 0.375    0.421875 0.46875  0.5625   0.375    0.421875 0.46875  0.375
 0.421875 0.375    0.421875 0.46875  0.375    0.421875 0.46875  0.5625  ]"
dopplerIdx,[ 0  0  0  0  1  1  1  1  2  2  2  2  3  3  3 -3 -3 -2 -2 -2 -1 -1 -1 -1]
doppler,"[ 0.          0.          0.          0.          0.12526054  0.12526054
  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108  0.25052108
  0.37578163  0.37578163  0.37578163 -0.37578163 -0.37578163 -0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054]"
peakVal,"[ 41  64  35   8 188 291 158  32  66 102  55  12  11  18  10  10  15  39
  60  32 124 191 104  20]"
x,"[-0.10546875 -0.11914062 -0.1328125  -0.140625   -0.1171875  -0.1328125
 -0.14648438 -0.15820312 -0.1171875  -0.1328125  -0.14648438 -0.17578125
 -0.1171875  -0.1328125  -0.16210938 -0.10546875 -0.11914062 -0.10546875
 -0.11914062 -0.14648438 -0.10546875 -0.11914062 -0.1328125  -0.140625  ]"
y,"[0.359375   0.40429688 0.44726562 0.54492188 0.35351562 0.39648438
 0.43945312 0.5390625  0.34960938 0.39257812 0.43359375 0.53320312
 0.34375    0.38671875 0.40820312 0.35742188 0.40039062 0.359375
 0.40429688 0.4453125  0.359375   0.40429688 0.44921875 0.5390625 ]"
z,"[ 0.01757812  0.02539062  0.04296875  0.0078125   0.04492188  0.05273438
  0.07421875  0.00195312  0.06835938  0.08007812  0.10351562  0.03125
  0.09570312  0.1015625   0.16601562 -0.03320312 -0.0625     -0.02929688
 -0.0234375  -0.015625    0.          0.00195312  0.01171875 -0.07617188]"
