numObj,31
rangeIdx,"[ 8  9 29  8  9 10 12 22 23  8  9 10 22 23  8  9  8  9  8  9 10 12  8  9
 10 12 23 29 12 12 12]"
range,"[0.375    0.421875 1.359375 0.375    0.421875 0.46875  0.5625   1.03125
 1.078125 0.375    0.421875 0.46875  1.03125  1.078125 0.375    0.421875
 0.375    0.421875 0.375    0.421875 0.46875  0.5625   0.375    0.421875
 0.46875  0.5625   1.078125 1.359375 0.5625   0.5625   0.5625  ]"
dopplerIdx,"[ 0  0  0  1  1  1  1  1  1  2  2  2  2  2  3  3 -3 -3 -2 -2 -2 -2 -1 -1
 -1 -1 -1 -1  1 -2 -1]"
doppler,"[ 0.          0.          0.          0.12526054  0.12526054  0.12526054
  0.12526054  0.12526054  0.12526054  0.25052108  0.25052108  0.25052108
  0.25052108  0.25052108  0.37578163  0.37578163 -0.37578163 -0.37578163
 -0.25052108 -0.25052108 -0.25052108 -0.25052108 -0.12526054 -0.12526054
 -0.12526054 -0.12526054 -0.12526054 -0.12526054  0.12526054 -0.25052108
 -0.12526054]"
peakVal,"[ 39  55   9 175 240 128  19  41  41  57  78  41  14  14  13  18  14  20
  80 111  60  10 232 325 175  26  53  21  15   9  24]"
x,"[0.0234375  0.02734375 0.25585938 0.01171875 0.01367188 0.02929688
 0.03515625 0.03320312 0.03320312 0.01171875 0.01367188 0.015625
 0.03320312 0.03320312 0.         0.01367188 0.0234375  0.02734375
 0.0234375  0.0390625  0.04492188 0.05273438 0.0234375  0.02734375
 0.02929688 0.03515625 0.03320312 0.25585938 0.38671875 0.40429688
 0.38671875]"
y,"[0.37109375 0.41796875 1.29882812 0.36914062 0.41601562 0.46289062
 0.55273438 0.984375   1.03125    0.36328125 0.41015625 0.45703125
 0.97070312 1.015625   0.35742188 0.40429688 0.37304688 0.41992188
 0.375      0.41992188 0.46679688 0.56054688 0.37304688 0.41992188
 0.46875    0.56054688 1.06640625 1.31445312 0.20898438 0.23046875
 0.37304688]"
z,"[ 0.04492188  0.05273438  0.30859375  0.06640625  0.07226562  0.06835938
  0.09375     0.30859375  0.31445312  0.08984375  0.1015625   0.10546875
  0.34570312  0.359375    0.11523438  0.12304688 -0.015625   -0.02539062
 -0.00390625 -0.0078125  -0.01953125 -0.02148438  0.01953125  0.01953125
  0.00976562  0.00390625  0.16210938  0.234375   -0.3515625  -0.31640625
 -0.16796875]"
