numObj,7
rangeIdx,[30  9 29 30 29 30 31]
range,[1.40625  0.421875 1.359375 1.40625  1.359375 1.40625  1.453125]
dopplerIdx,[ 0  1  1  1 -1 -1 -1]
doppler,"[ 0.          0.12526054  0.12526054  0.12526054 -0.12526054 -0.12526054
 -0.12526054]"
peakVal,[ 7 24 10 11 11 15 12]
x,"[0.3515625  0.0390625  0.21289062 0.22070312 0.3828125  0.3515625
 0.31835938]"
y,"[1.24804688 0.40625    1.29882812 1.32226562 1.2578125  1.32421875
 1.36132812]"
z,"[0.54492188 0.10742188 0.33984375 0.42578125 0.34570312 0.3203125
 0.39648438]"
