numObj,23
rangeIdx,[ 8  9 10  8  9 10 12  8  9 10  8  9  8  9  8  9 10  8  9 10 12 12 12]
range,"[0.375    0.421875 0.46875  0.375    0.421875 0.46875  0.5625   0.375
 0.421875 0.46875  0.375    0.421875 0.375    0.421875 0.375    0.421875
 0.46875  0.375    0.421875 0.46875  0.5625   0.5625   0.5625  ]"
dopplerIdx,[ 0  0  0  1  1  1  1  2  2  2  3  3 -3 -3 -2 -2 -2 -1 -1 -1 -1  1 -1]
doppler,"[ 0.          0.          0.          0.12526054  0.12526054  0.12526054
  0.12526054  0.25052108  0.25052108  0.25052108  0.37578163  0.37578163
 -0.37578163 -0.37578163 -0.25052108 -0.25052108 -0.25052108 -0.12526054
 -0.12526054 -0.12526054 -0.12526054  0.12526054 -0.12526054]"
peakVal,"[ 34  46  23 214 288 140  22  73  98  48  14  19  12  16  52  69  34 160
 214 105  16  15  12]"
x,"[ 0.03515625  0.0390625   0.05859375  0.03515625  0.0390625   0.04492188
  0.01757812  0.03515625  0.0390625   0.04492188  0.0234375   0.02734375
  0.046875    0.06640625  0.046875    0.05273438  0.05859375  0.046875
  0.05273438  0.04492188  0.03515625 -0.17578125 -0.15820312]"
y,"[0.37109375 0.41796875 0.46289062 0.3671875  0.41210938 0.45898438
 0.5625     0.36132812 0.40625    0.453125   0.3515625  0.3984375
 0.37109375 0.41601562 0.37304688 0.41796875 0.46484375 0.37109375
 0.41796875 0.46679688 0.55859375 0.51757812 0.52734375]"
z,"[ 0.04492188  0.04492188  0.03515625  0.06835938  0.08007812  0.08007812
 -0.00585938  0.09179688  0.10351562  0.11132812  0.12890625  0.13671875
 -0.015625   -0.02539062  0.00390625  0.         -0.01757812  0.0234375
  0.02734375  0.01953125 -0.06445312  0.13476562  0.11523438]"
