numObj,9
rangeIdx,[12 29 12 13 28 29 12 12 13]
range,"[0.5625   1.359375 0.5625   0.609375 1.3125   1.359375 0.5625   0.5625
 0.609375]"
dopplerIdx,[ 1  1 -1 -1 -1 -1  1 -1 -1]
doppler,"[ 0.12526054  0.12526054 -0.12526054 -0.12526054 -0.12526054 -0.12526054
  0.12526054 -0.12526054 -0.12526054]"
peakVal,[ 9  9 13 19 16 15  8 12 15]
x,"[-0.5625      0.296875   -0.5625     -0.40039062  0.28710938  0.296875
 -0.19335938 -0.2109375  -0.609375  ]"
y,"[0.         1.25976562 0.         0.42578125 1.28125    1.32421875
 0.45507812 0.40820312 0.        ]"
z,"[ 0.01953125  0.41796875 -0.05664062  0.171875    0.03125     0.07421875
  0.26953125  0.32421875 -0.16210938]"
