numObj,16
rangeIdx,[ 8  9  7  8  9 10  8  9  9  9  8  9  7  8  9 10]
range,"[0.375    0.421875 0.328125 0.375    0.421875 0.46875  0.375    0.421875
 0.421875 0.421875 0.375    0.421875 0.328125 0.375    0.421875 0.46875 ]"
dopplerIdx,[ 0  0  1  1  1  1  2  2  3 -3 -2 -2 -1 -1 -1 -1]
doppler,"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.12526054
  0.25052108  0.25052108  0.37578163 -0.37578163 -0.25052108 -0.25052108
 -0.12526054 -0.12526054 -0.12526054 -0.12526054]"
peakVal,[ 24  26  33 106 118  44  34  38   8   8  40  44  38 120 134  52]
x,"[-0.0234375  -0.02734375 -0.03125    -0.0234375  -0.02734375 -0.04492188
 -0.03515625 -0.0390625  -0.06640625  0.         -0.0234375  -0.02734375
 -0.02148438 -0.01171875 -0.01367188 -0.02929688]"
y,"[0.36523438 0.4140625  0.31445312 0.36132812 0.40820312 0.45117188
 0.35351562 0.3984375  0.37695312 0.41992188 0.37304688 0.41992188
 0.32421875 0.37109375 0.41796875 0.46289062]"
z,"[0.08007812 0.08007812 0.0859375  0.09570312 0.10546875 0.11523438
 0.11914062 0.1328125  0.17773438 0.03320312 0.015625   0.01953125
 0.0390625  0.046875   0.05273438 0.0625    ]"
