numObj,21
rangeIdx,[ 8  9  8  9  8  9  8  9  8  9 10  9  8  9  8  9  8  9  8  9 10]
range,"[0.375    0.421875 0.375    0.421875 0.375    0.421875 0.375    0.421875
 0.375    0.421875 0.46875  0.421875 0.375    0.421875 0.375    0.421875
 0.375    0.421875 0.375    0.421875 0.46875 ]"
dopplerIdx,[ 0  0  1  1  2  2 -2 -2 -1 -1 -1  0  1  1  2  2 -2 -2 -1 -1 -1]
doppler,"[ 0.          0.          0.12526054  0.12526054  0.25052108  0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054  0.
  0.12526054  0.12526054  0.25052108  0.25052108 -0.25052108 -0.25052108
 -0.12526054 -0.12526054 -0.12526054]"
peakVal,[22 23 39 41 14 15 13 14 36 40 17 12 37 40 13 14  8  8 23 26 10]
x,"[-0.03515625 -0.0390625  -0.03515625  0.40820312 -0.03515625 -0.0390625
  0.          0.         -0.0234375  -0.02734375 -0.04492188  0.40820312
  0.3515625  -0.02734375  0.3515625   0.39648438 -0.375       0.40820312
 -0.375      -0.421875   -0.46875   ]"
y,"[0.359375   0.40234375 0.36914062 0.0703125  0.3671875  0.40820312
 0.375      0.421875   0.37109375 0.41796875 0.46289062 0.09179688
 0.1015625  0.41601562 0.05273438 0.078125   0.         0.10351562
 0.         0.         0.        ]"
z,"[ 0.09765625  0.12109375  0.05859375  0.078125    0.07226562  0.09570312
  0.01757812  0.02929688  0.04101562  0.04882812  0.06054688  0.04882812
  0.08007812  0.06640625  0.11914062  0.125      -0.02148438 -0.00976562
  0.03125     0.03710938  0.03710938]"
