numObj,7
rangeIdx,[12  9  8  9 12 12 12]
range,[0.5625   0.421875 0.375    0.421875 0.5625   0.5625   0.5625  ]
dopplerIdx,[ 1 -2 -1 -1 -1  1 -1]
doppler,"[ 0.12526054 -0.25052108 -0.12526054 -0.12526054 -0.12526054  0.12526054
 -0.12526054]"
peakVal,[23 25 67 74 15 14 11]
x,"[0.3515625  0.01367188 0.         0.         0.33398438 0.140625
 0.140625  ]"
y,"[0.43554688 0.421875   0.37304688 0.41992188 0.45117188 0.50390625
 0.52929688]"
z,"[ 0.05078125  0.01171875  0.04296875  0.03710938 -0.02929688  0.20703125
  0.12890625]"
