numObj,27
rangeIdx,"[ 8  9 10 12 22  8  9 10 12 22  8  9 10  8  9  8  9  8  9 10  8  9 10 12
 12 12 12]"
range,"[0.375    0.421875 0.46875  0.5625   1.03125  0.375    0.421875 0.46875
 0.5625   1.03125  0.375    0.421875 0.46875  0.375    0.421875 0.375
 0.421875 0.375    0.421875 0.46875  0.375    0.421875 0.46875  0.5625
 0.5625   0.5625   0.5625  ]"
dopplerIdx,"[ 0  0  0  0  0  1  1  1  1  1  2  2  2  3  3 -3 -3 -2 -2 -2 -1 -1 -1 -1
  0  1 -1]"
doppler,"[ 0.          0.          0.          0.          0.          0.12526054
  0.12526054  0.12526054  0.12526054  0.12526054  0.25052108  0.25052108
  0.25052108  0.37578163  0.37578163 -0.37578163 -0.37578163 -0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054
  0.          0.12526054 -0.12526054]"
peakVal,"[116 141  61  16  12 197 238 104  26  20  72  87  37  12  14  11  13  54
  66  29 165 201  86  22   9  16  13]"
x,"[0.046875   0.05273438 0.05859375 0.05273438 0.09765625 0.03515625
 0.0390625  0.05859375 0.03515625 0.12890625 0.03515625 0.0390625
 0.04492188 0.03515625 0.02734375 0.046875   0.05273438 0.046875
 0.05273438 0.05859375 0.046875   0.05273438 0.05859375 0.05273438
 0.24609375 0.22851562 0.24609375]"
y,"[0.36523438 0.41015625 0.45507812 0.56054688 0.9765625  0.36132812
 0.40625    0.44726562 0.55859375 0.89453125 0.35546875 0.3984375
 0.44140625 0.34179688 0.38085938 0.37304688 0.41796875 0.37109375
 0.41601562 0.46289062 0.3671875  0.41210938 0.45703125 0.56054688
 0.42773438 0.2734375  0.38867188]"
z,"[ 0.07226562  0.08203125  0.09765625  0.015625    0.31640625  0.09179688
  0.10742188  0.13085938  0.05273438  0.49804688  0.11523438  0.1328125
  0.1484375   0.1484375   0.1796875   0.          0.          0.03710938
  0.04492188  0.05078125  0.05859375  0.06835938  0.0859375  -0.015625
  0.26953125  0.43554688  0.32421875]"
