numObj,24
rangeIdx,[21 22 20 21 22 23 24 20 21 22 20 21 22 23 20 21 22 23 24 23 24 23 23 24]
range,"[0.984375 1.03125  0.9375   0.984375 1.03125  1.078125 1.125    0.9375
 0.984375 1.03125  0.9375   0.984375 1.03125  1.078125 0.9375   0.984375
 1.03125  1.078125 1.125    1.078125 1.125    1.078125 1.078125 1.125   ]"
dopplerIdx,[ 0  0  1  1  1  1  1  2  2  2 -2 -2 -2 -2 -1 -1 -1 -1 -1  1  1 -2 -1 -1]
doppler,"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.25052108  0.25052108  0.25052108 -0.25052108 -0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054
 -0.12526054  0.12526054  0.12526054 -0.25052108 -0.12526054 -0.12526054]"
peakVal,[ 9  8 23 61 55 18 13  7 20 18  9 25 22  8 29 75 68 24 15 15 12  7 19 14]
x,"[ 0.          0.          0.          0.         -0.03320312  0.47265625
 -0.10546875  0.         -0.03125    -0.06445312  0.          0.
  0.          0.47265625  0.          0.          0.          0.50585938
 -0.45703125 -0.47265625 -0.4921875  -0.4375     -0.47265625 -0.10546875]"
y,"[0.98242188 1.0234375  0.93554688 0.984375   1.03125    0.96289062
 1.11328125 0.9375     0.98242188 1.02929688 0.91796875 0.96484375
 1.00976562 0.96679688 0.921875   0.97265625 1.01757812 0.95117188
 1.01171875 0.96679688 0.99023438 0.93945312 0.93945312 1.11914062]"
z,"[-0.07617188 -0.12109375 -0.05664062 -0.02539062 -0.02734375  0.11132812
  0.125       0.03125     0.04882812  0.03125    -0.19140625 -0.19335938
 -0.2109375  -0.06640625 -0.171875   -0.1484375  -0.16796875 -0.06054688
  0.1875     -0.0625      0.2109375  -0.29882812 -0.24023438 -0.01367188]"
