numObj,22
rangeIdx,[21 22 53 54 20 21 22 23 24 21 22 21 22 20 21 22 23 24 23 24 23 24]
range,"[0.984375 1.03125  2.484375 2.53125  0.9375   0.984375 1.03125  1.078125
 1.125    0.984375 1.03125  0.984375 1.03125  0.9375   0.984375 1.03125
 1.078125 1.125    1.078125 1.125    1.078125 1.125   ]"
dopplerIdx,[ 0  0  0  0  1  1  1  1  1  2  2 -2 -2 -1 -1 -1 -1 -1  1  1 -1 -1]
doppler,"[ 0.          0.          0.          0.          0.12526054  0.12526054
  0.12526054  0.12526054  0.12526054  0.25052108  0.25052108 -0.25052108
 -0.25052108 -0.12526054 -0.12526054 -0.12526054 -0.12526054 -0.12526054
  0.12526054  0.12526054 -0.12526054 -0.12526054]"
peakVal,[ 8  7 13 12 20 54 52 17 12 18 17 22 21 24 67 62 21 16 17 12 19 13]
x,"[ 0.          0.         -0.15625    -0.15820312  0.          0.
 -0.03320312  0.50585938 -0.52734375 -0.03125    -0.06445312  0.
  0.          0.          0.          0.         -0.4375     -0.4921875
 -0.47265625 -0.10546875  0.47265625 -0.10546875]"
y,"[0.984375   1.02929688 2.42773438 2.4609375  0.93554688 0.984375
 1.03125    0.9453125  0.97070312 0.98242188 1.02734375 0.96484375
 1.00585938 0.921875   0.97460938 1.01757812 0.9609375  1.0078125
 0.96875    1.11914062 0.96875    1.1171875 ]"
z,"[-0.03710938 -0.05859375  0.50390625  0.57617188 -0.05664062 -0.0234375
 -0.01171875  0.11523438  0.21484375  0.046875    0.06445312 -0.19726562
 -0.2265625  -0.171875   -0.14453125 -0.1640625  -0.21484375  0.09570312
  0.015625    0.02929688 -0.0234375  -0.09375   ]"
