numObj,11
rangeIdx,[ 8  9  9 12 22  9  8  9  8  9 12]
range,"[0.375    0.421875 0.421875 0.5625   1.03125  0.421875 0.375    0.421875
 0.375    0.421875 0.5625  ]"
dopplerIdx,[ 0  0  1  1  1  2 -2 -2 -1 -1 -1]
doppler,"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.25052108
 -0.25052108 -0.25052108 -0.12526054 -0.12526054 -0.12526054]"
peakVal,[18 20 70 22 17 25 19 21 59 64 16]
x,"[ 0.          0.         -0.01367188  0.3515625  -0.09765625 -0.01367188
  0.          0.         -0.01171875  0.          0.36914062]"
y,"[0.37109375 0.41796875 0.41015625 0.38867188 0.99609375 0.40429688
 0.37304688 0.421875   0.37109375 0.41796875 0.40820312]"
z,"[0.0546875  0.0625     0.09570312 0.203125   0.25       0.11914062
 0.02929688 0.02734375 0.05273438 0.05078125 0.11914062]"
